HEAD
mght	16		
eps	3		
R	516		
T	273		
Z	0.963019		
p_title	30		
fnom	5300		
Ppred	3.5		
DATA
q	comp	kpd	f
315	1.94	0.759	0.70
360	1.88	0.770	0.70
405	1.83	0.785	0.70
449	1.76	0.797	0.70
494	1.66	0.766	0.70
539	1.46	0.621	0.70
338	2.12	0.759	0.75
386	2.05	0.770	0.75
434	1.98	0.785	0.75
482	1.91	0.797	0.75
530	1.77	0.766	0.75
578	1.53	0.621	0.75
360	2.32	0.759	0.80
411	2.23	0.770	0.80
462	2.15	0.785	0.80
514	2.06	0.797	0.80
565	1.91	0.766	0.80
616	1.62	0.621	0.80
383	2.55	0.759	0.85
437	2.45	0.770	0.85
491	2.35	0.785	0.85
546	2.24	0.797	0.85
600	2.05	0.766	0.85
655	1.71	0.621	0.85
405	2.81	0.759	0.90
463	2.69	0.770	0.90
520	2.57	0.785	0.90
578	2.45	0.797	0.90
635	2.22	0.766	0.90
693	1.81	0.621	0.90
428	3.11	0.759	0.95
488	2.96	0.770	0.95
549	2.83	0.785	0.95
610	2.68	0.797	0.95
671	2.41	0.766	0.95
732	1.93	0.621	0.95
450	3.44	0.759	1.00
514	3.27	0.770	1.00
578	3.11	0.785	1.00
642	2.93	0.797	1.00
706	2.61	0.766	1.00
770	2.05	0.621	1.00
472	3.82	0.759	1.05
540	3.62	0.770	1.05
607	3.43	0.785	1.05
674	3.22	0.797	1.05
741	2.84	0.766	1.05
808	2.19	0.621	1.05
